Entry	Keywords
Q8WVX3	Acetylation; Alternative splicing; Complete proteome; Membrane; Polymorphism; Reference proteome; Transmembrane; Transmembrane helix
A6NGB0	Coiled coil; Complete proteome; Membrane; Reference proteome; Transmembrane; Transmembrane helix
A0A0B4J2B7	Complete proteome; Reference proteome; Signal
A0A075B7B8	Complete proteome; Proteomics identification; Reference proteome; Signal
P04430	Amyloid; Complete proteome; Direct protein sequencing; Disulfide bond; Immunoglobulin V region; Immunoglobulin domain; Reference proteome
A0A0C4DH66	Complete proteome; Reference proteome
C9JXX5	Complete proteome; Polymorphism; Reference proteome; Secreted; Signal
O95167	Acetylation; Complete proteome; Electron transport; Membrane; Mitochondrion; Mitochondrion inner membrane; Polymorphism; Reference proteome; Respiratory chain; Transmembrane; Transmembrane helix; Transport
K7EIQ3	Alternative splicing; Complete proteome; Reference proteome
Q6UW10	Complete proteome; Direct protein sequencing; Glycoprotein; Polymorphism; Reference proteome; Secreted; Signal
Q9UHP9	Complete proteome; Deafness; Non-syndromic deafness; Reference proteome
A0A0B4J1U9	Complete proteome; Proteomics identification; Reference proteome; Signal
E9PN16	Complete proteome; Proteomics identification; Reference proteome
Q8N8D9	Alternative splicing; Complete proteome; Reference proteome
P47914	3D-structure; Acetylation; Complete proteome; Direct protein sequencing; Heparin-binding; Isopeptide bond; Methylation; Phosphoprotein; Reference proteome; Repeat; Ribonucleoprotein; Ribosomal protein; Ubl conjugation
Q86U37	Complete proteome; Reference proteome
B3EWG6	Complete proteome; Reference proteome
Q3LI68	Complete proteome; Keratin; Reference proteome
P01625	3D-structure; Bence-Jones protein; Complete proteome; Direct protein sequencing; Disulfide bond; Immunoglobulin V region; Immunoglobulin domain; Reference proteome
A6NGU7	Alternative splicing; Complete proteome; Reference proteome
A0A0A0MS11	Complete proteome; Proteomics identification; Reference proteome; Signal
Q3LI60	Complete proteome; Keratin; Reference proteome; Repeat
Q5T7P2	Complete proteome; Keratinization; Reference proteome
K7EQD1	Complete proteome; Reference proteome
O00198	3D-structure; Apoptosis; Complete proteome; Membrane; Mitochondrion; Reference proteome; Transmembrane; Transmembrane helix
Q8NCU8	Alternative initiation; Complete proteome; Membrane; Reference proteome; Transmembrane; Transmembrane helix
A0A0B4J1V3	Complete proteome; Proteomics identification; Reference proteome; Signal
P99999	3D-structure; Acetylation; Apoptosis; Complete proteome; Direct protein sequencing; Disease mutation; Electron transport; Heme; Iron; Metal-binding; Mitochondrion; Phosphoprotein; Polymorphism; Reference proteome; Respiratory chain; Transport
Q8N257	Acetylation; Chromosome; Complete proteome; DNA-binding; Direct protein sequencing; Glycoprotein; Isopeptide bond; Methylation; Nucleosome core; Nucleus; Phosphoprotein; Reference proteome; Ubl conjugation
Q9Y6H6	Brugada syndrome; Cell membrane; Cell projection; Complete proteome; Cytoplasm; Disease mutation; Glycoprotein; Ion channel; Ion transport; Membrane; Polymorphism; Potassium; Potassium channel; Potassium transport; Reference proteome; Transmembrane; Transmembrane helix; Transport; Voltage-gated channel
B3EWG3	Complete proteome; Polymorphism; Reference proteome
Q96RP3	3D-structure; Complete proteome; Glycoprotein; Hormone; Reference proteome; Secreted; Signal
Q3KNT9	Alternative splicing; Complete proteome; Membrane; Reference proteome; Signal; Transmembrane; Transmembrane helix
P01816	Complete proteome; Direct protein sequencing; Immunoglobulin V region; Immunoglobulin domain; Pyrrolidone carboxylic acid; Reference proteome
E7EUB6	Complete proteome; Reference proteome
A0A0B4J1X8	Complete proteome; Reference proteome; Signal
P04206	Complete proteome; Direct protein sequencing; Disulfide bond; Immunoglobulin V region; Immunoglobulin domain; Reference proteome
C9J3I9	Complete proteome; Reference proteome
P01715	Bence-Jones protein; Complete proteome; Direct protein sequencing; Immunoglobulin V region; Immunoglobulin domain; Reference proteome
Q3LI77	Complete proteome; Keratin; Polymorphism; Reference proteome; Repeat
Q4LDR2	Complete proteome; Membrane; Polymorphism; Reference proteome; Transmembrane; Transmembrane helix
A0A075B7D0	Complete proteome; Reference proteome; Signal
P01703	Complete proteome; Direct protein sequencing; Immunoglobulin V region; Immunoglobulin domain; Pyrrolidone carboxylic acid; Reference proteome
Q30KQ1	Antibiotic; Antimicrobial; Complete proteome; Defensin; Disulfide bond; Reference proteome; Secreted; Signal
P01705	Bence-Jones protein; Complete proteome; Direct protein sequencing; Disulfide bond; Glycoprotein; Immunoglobulin V region; Immunoglobulin domain; Pyrrolidone carboxylic acid; Reference proteome
Q7Z7J9	Cell junction; Cell membrane; Complete proteome; Membrane; Postsynaptic cell membrane; Protein kinase inhibitor; Reference proteome; Synapse; Synaptosome
P01706	Complete proteome; Direct protein sequencing; Disulfide bond; Immunoglobulin V region; Immunoglobulin domain; Pyrrolidone carboxylic acid; Reference proteome
Q9BYR8	Complete proteome; Keratin; Reference proteome; Repeat
Q5T5A8	Complete proteome; Keratinization; Reference proteome
Q96E16	Complete proteome; Membrane; Reference proteome; Transmembrane; Transmembrane helix
Q4G0N0	Complete proteome; Golgi apparatus; Membrane; Reference proteome; Signal-anchor; Transmembrane; Transmembrane helix
P01699	Bence-Jones protein; Complete proteome; Direct protein sequencing; Disulfide bond; Immunoglobulin V region; Immunoglobulin domain; Pyrrolidone carboxylic acid; Reference proteome
Q9UJ90	Alport syndrome; Complete proteome; Deafness; Elliptocytosis; Glycoprotein; Hereditary hemolytic anemia; Membrane; Mental retardation; Polymorphism; Reference proteome; Transmembrane; Transmembrane helix
P04908	3D-structure; Acetylation; Chromosome; Citrullination; Complete proteome; DNA-binding; Isopeptide bond; Methylation; Nucleosome core; Nucleus; Phosphoprotein; Reference proteome; Ubl conjugation
Q30KR1	Antibiotic; Antimicrobial; Complete proteome; Defensin; Disulfide bond; Reference proteome; Secreted; Signal
A0A096LNP2	Complete proteome; Reference proteome
Q6UXB2	Angiogenesis; Chemotaxis; Complete proteome; Developmental protein; Differentiation; Direct protein sequencing; Disulfide bond; Reference proteome; Secreted; Signal
Q93083	Acetylation; Cadmium; Complete proteome; Copper; Metal-binding; Metal-thiolate cluster; Phosphoprotein; Reference proteome; Zinc
P0DJI9	Acute phase; Alternative splicing; Amyloid; Amyloidosis; Complete proteome; Direct protein sequencing; HDL; Polymorphism; Reference proteome; Secreted; Signal
A6NL05	Complete proteome; Membrane; Polymorphism; Reference proteome; Transmembrane; Transmembrane helix
P06899	3D-structure; Acetylation; Antibiotic; Antimicrobial; Chromosome; Complete proteome; DNA-binding; Direct protein sequencing; Glycoprotein; Isopeptide bond; Methylation; Nucleosome core; Nucleus; Phosphoprotein; Reference proteome; Ubl conjugation
Q6UXQ4	Complete proteome; Reference proteome; Secreted; Signal
Q5XKR9	Alternative splicing; Complete proteome; Polymorphism; Reference proteome
Q9NRX6	Complete proteome; Golgi apparatus; Membrane; Reference proteome; Signal; Transmembrane; Transmembrane helix
P20671	Acetylation; Chromosome; Citrullination; Complete proteome; DNA-binding; Isopeptide bond; Methylation; Nucleosome core; Nucleus; Phosphoprotein; Reference proteome; Ubl conjugation
Q96IX5	Acetylation; Complete proteome; Membrane; Mitochondrion; Reference proteome; Transmembrane; Transmembrane helix
Q5T753	Complete proteome; Keratinization; Polymorphism; Reference proteome
Q1ZYL8	Alternative splicing; Complete proteome; Glycoprotein; Polymorphism; Reference proteome; Secreted; Signal
Q5T5B0	Complete proteome; Keratinization; Reference proteome
A8MWV9	Complete proteome; Membrane; Reference proteome; Transmembrane; Transmembrane helix
O75711	Complete proteome; Direct protein sequencing; Glycoprotein; Polymorphism; Reference proteome; Secreted; Signal
Q9Y5L2	Complete proteome; Lipid droplet; Membrane; Phosphoprotein; Reference proteome; Secreted; Stress response; Transmembrane; Transmembrane helix
Q96RM1	Complete proteome; Cytoplasm; Keratinization; Reference proteome; Repeat
Q9BQD1	Complete proteome; Reference proteome
A0A096LP43	Complete proteome; Reference proteome
