Entry	Keywords
Q9UKJ8	Complete proteome; Disulfide bond; EGF-like domain; Glycoprotein; Hydrolase; Membrane; Metal-binding; Metalloprotease; Protease; Reference proteome; Signal; Transmembrane; Transmembrane helix; Zinc; Zymogen
Q5K4L6	Alternative splicing; Complete proteome; Fatty acid metabolism; Ligase; Lipid metabolism; Membrane; Mitochondrion; Nucleotide-binding; Polymorphism; Reference proteome; Transmembrane; Transmembrane helix
Q9H477	3D-structure; ATP-binding; Alternative splicing; Carbohydrate metabolism; Complete proteome; Kinase; Nucleotide-binding; Reference proteome; Transferase
O95825	Alternative splicing; Complete proteome; NADP; Oxidoreductase; Polymorphism; Reference proteome
Q15005	Acetylation; Complete proteome; Direct protein sequencing; Endoplasmic reticulum; Hydrolase; Membrane; Microsome; Protease; Reference proteome; Transmembrane; Transmembrane helix
O14975	ATP-binding; Acetylation; Alternative splicing; Complete proteome; Endoplasmic reticulum; Fatty acid metabolism; Ligase; Lipid metabolism; Membrane; Nucleotide-binding; Peroxisome; Phosphoprotein; Polymorphism; Reference proteome; Transmembrane; Transmembrane helix
Q9Y2P5	ATP-binding; Alternative splicing; Complete proteome; Endoplasmic reticulum; Fatty acid metabolism; Ligase; Lipid metabolism; Membrane; Nucleotide-binding; Phosphoprotein; Polymorphism; Reference proteome; Transmembrane; Transmembrane helix
Q9NYW3	Complete proteome; G-protein coupled receptor; Glycoprotein; Membrane; Polymorphism; Receptor; Reference proteome; Sensory transduction; Taste; Transducer; Transmembrane; Transmembrane helix
Q9NQW7	3D-structure; Acetylation; Alternative splicing; Aminopeptidase; Complete proteome; Cytoplasm; Direct protein sequencing; Hydrolase; Manganese; Metal-binding; Metalloprotease; Protease; Reference proteome
P50336	3D-structure; Complete proteome; Disease mutation; FAD; Flavoprotein; Heme biosynthesis; Membrane; Mitochondrion; Mitochondrion inner membrane; Oxidoreductase; Polymorphism; Porphyrin biosynthesis; Reference proteome
Q6PCB7	Alternative splicing; Cell membrane; Complete proteome; Cytoplasm; Fatty acid metabolism; Ligase; Lipid metabolism; Lipid transport; Membrane; Nucleotide-binding; Reference proteome; Transmembrane; Transmembrane helix; Transport
Q92482	Alternative splicing; Blood group antigen; Cell membrane; Complete proteome; Glycoprotein; Membrane; Polymorphism; Reference proteome; Repeat; Transmembrane; Transmembrane helix; Transport
O96008	Alternative splicing; Complete proteome; Direct protein sequencing; Ion transport; Membrane; Mitochondrion; Mitochondrion outer membrane; Porin; Protein transport; Reference proteome; Transmembrane; Transmembrane beta strand; Transport
Q6P1M0	Alternative splicing; Complete proteome; Disease mutation; Endoplasmic reticulum; Fatty acid metabolism; Ichthyosis; Ligase; Lipid metabolism; Lipid transport; Membrane; Nucleotide-binding; Polymorphism; Reference proteome; Transmembrane; Transmembrane helix; Transport
Q6P461	ATP-binding; Alternative splicing; Complete proteome; Fatty acid metabolism; GTP-binding; Ligase; Lipid metabolism; Magnesium; Metal-binding; Mitochondrion; Nucleotide-binding; Polymorphism; Reference proteome; Transit peptide
P05451	3D-structure; Complete proteome; Direct protein sequencing; Disulfide bond; Glycoprotein; Lectin; Pyrrolidone carboxylic acid; Reference proteome; Secreted; Signal
Q53FA7	3D-structure; Acetylation; Alternative splicing; Complete proteome; Direct protein sequencing; NADP; Oxidoreductase; Polymorphism; Reference proteome
