Entry	DNA binding
Q9H7Z6	
A6NIR3	
Q8NBZ0	
Q99835	
Q9BX66	
Q14C86	
Q5TAT6	
Q6STE5	
P53539	
Q05901	
Q13952	
P04035	
Q7L273	
Q4J6C6	
P18577	
Q86YT6	
Q9Y4K0	
P07900	
C9JG80	
Q8N5G0	
Q9UIF8	
P18206	
P21127	
Q6UN15	
Q92617	
P56703	
P42263	
Q96JB1	
O75175	
Q9UJX3	
Q8IW41	
Q8N9N5	
P23634	
Q96EP0	
Q8N122	
P24844	
P08519	
O14713	
Q8IY33	
E9PJ23	
Q13936	
Q8NHV5	
Q7Z4S6	
Q8N9K5	
P15941	
Q12802	
Q86U70	
O95819	
Q9Y4C0	
Q9UNS1	
Q8WXS8	
P34931	
Q53G59	
O75154	
Q8N138	
P61421	
Q5T4S7	
Q9NUL5	
P02462	
Q9UKA2	
Q7Z4I7	
P56945	
Q9Y4J8	
Q96QR8	DNA_BIND 28 254 {ECO:0000250}.
Q14315	
Q9H7L9	
Q9UKE5	
O75911	
P52948	
Q14938	DNA_BIND 1 194 CTF/NF-I. {ECO:0000255|PROSITE-ProRule:PRU00436}.
P42857	
Q9HAV0	
Q8N9R8	
Q9Y5V3	
P35789	
Q01538	
Q9HCK8	
Q14141	
Q8IW50	
Q96L91	
P01911	
Q9H251	
Q9H2H0	
Q9UM54	
P57103	
Q9NZC4	DNA_BIND 207 289 ETS. {ECO:0000255|PROSITE-ProRule:PRU00237}.
Q9P2D8	
Q9UPN3	
Q9UK53	
P22607	
Q6WCQ1	
P22105	
Q96KR7	
Q96BD5	DNA_BIND 425 437 A.T hook.
O95202	
Q5VU97	
Q14157	
Q8IVV2	
Q92890	
Q9BZQ6	
P07996	
Q96BJ3	
Q9H2D6	
P05387	
O14628	
Q9P2R6	
Q9P0S3	
Q14055	
