Entry	Keywords
P81605	3D-structure; Acetylation; Alternative splicing; Antibiotic; Antimicrobial; Complete proteome; Direct protein sequencing; Fungicide; Hydrolase; Manganese; Protease; Reference proteome; Secreted; Signal
Q3LHN2	Complete proteome; Keratin; Polymorphism; Reference proteome; Repeat
Q3LI61	Complete proteome; Keratin; Polymorphism; Reference proteome; Repeat
Q3LI64	Complete proteome; Keratin; Reference proteome; Repeat
Q3LI66	Complete proteome; Keratin; Reference proteome; Repeat
Q3LI67	Complete proteome; Keratin; Polymorphism; Reference proteome; Repeat
P02808	Alternative splicing; Biomineralization; Complete proteome; Direct protein sequencing; Isopeptide bond; Phosphoprotein; Polymorphism; Reference proteome; Secreted; Signal; Sulfation
P09430	Chromosome; Complete proteome; DNA-binding; Developmental protein; Differentiation; Nucleosome core; Nucleus; Phosphoprotein; Reference proteome; Spermatogenesis
P15516	Antibiotic; Antimicrobial; Biomineralization; Cleavage on pair of basic residues; Complete proteome; Direct protein sequencing; Fungicide; Metal-binding; Polymorphism; Reference proteome; Secreted; Signal
Q3LI59	Complete proteome; Keratin; Reference proteome; Repeat
Q3LI63	Complete proteome; Keratin; Polymorphism; Reference proteome; Repeat
Q7Z4W3	Complete proteome; Keratin; Reference proteome; Repeat
Q8IUB9	Complete proteome; Keratin; Reference proteome; Repeat
Q96B49	Acetylation; Complete proteome; Membrane; Mitochondrion; Mitochondrion outer membrane; Protein transport; Reference proteome; Transport
A6NIN4	Complete proteome; Reference proteome
P04554	3D-structure; Alternative splicing; Chromosome; Complete proteome; DNA condensation; DNA-binding; Developmental protein; Differentiation; Direct protein sequencing; Nucleosome core; Nucleus; Phosphoprotein; Reference proteome; Spermatogenesis
Q3LI54	Complete proteome; Keratin; Polymorphism; Reference proteome; Repeat
Q3LI72	Complete proteome; Keratin; Reference proteome; Repeat
Q3SYF9	Complete proteome; Keratin; Reference proteome; Repeat
Q5RGS3	Complete proteome; Membrane; Reference proteome; Transmembrane; Transmembrane helix
Q5TZK3	Complete proteome; Reference proteome
Q8NCU8	Alternative initiation; Complete proteome; Membrane; Reference proteome; Transmembrane; Transmembrane helix
Q9Y5L2	Complete proteome; Lipid droplet; Membrane; Phosphoprotein; Reference proteome; Secreted; Stress response; Transmembrane; Transmembrane helix
A1L3X4	Complete proteome; Metal-binding; Metal-thiolate cluster; Reference proteome
P61574	Complete proteome; Cytoplasm; ERV; Nucleus; RNA-binding; Reference proteome; Transport; Transposable element; mRNA transport
Q3LI70	Complete proteome; Keratin; Reference proteome; Repeat
Q5JTB6	Complete proteome; Reference proteome; Secreted; Signal
P25063	Cell membrane; Complete proteome; GPI-anchor; Glycoprotein; Lipoprotein; Membrane; Polymorphism; Reference proteome; Signal
P59103	Alternative splicing; Complete proteome; Golgi apparatus; Polymorphism; Reference proteome
P61578	Complete proteome; Cytoplasm; ERV; Nucleus; RNA-binding; Reference proteome; Transport; Transposable element; mRNA transport
Q30KQ1	Antibiotic; Antimicrobial; Complete proteome; Defensin; Disulfide bond; Reference proteome; Secreted; Signal
