Entry	DNA binding
P78509	
O43149	
Q8N910	
A2RUQ5	
P04553	
Q86TE4	
Q3LI66	
Q8N9N5	
Q96EV2	
Q9NXF7	
P18627	
Q9H7B7	
Q5VU43	
P78423	
A2RTY3	
Q7Z6L0	
P55808	
O15061	
Q96SN8	
Q86YW5	
Q15643	
Q15154	
P33316	
Q96IZ7	
Q9NZU7	
Q3LI61	
A4D174	
P0CG47	
Q15149	
P02686	
P80723	
Q5T230	
Q3MIV0	
Q49A88	
Q4VC44	
P20929	
Q5H9T9	
Q3LI63	
Q9NZS9	
Q49A92	
Q7Z4H7	
Q0IIN9	
Q5D862	
P12036	
Q3LHN2	
Q8NEV8	
Q5SWW7	
Q96M34	
Q96F05	
Q8NG31	
Q8WUY3	
Q9H2J1	
P17677	
Q8NBB2	
Q8N7Z5	
P33076	
E7ER63	
Q8NA82	
O15240	
Q8NET4	
Q5VZR4	
Q99102	
Q6XPR3	
Q05682	
Q12816	
Q8TBY8	
Q9BRP9	
Q9H0E3	
A6NE01	
O75264	
Q3LI73	
Q14676	
Q86XI8	
Q14643	
Q14980	
Q5SR53	
Q86UU5	
Q96QE3	
Q9NRI5	
Q9UBP8	
B1AJZ9	
P62891	
A8MZA4	
Q6UXF1	
Q8N8I6	
P42701	
Q86UU0	
P02810	
P86434	
Q15428	
Q8N693	DNA_BIND 139 198 Homeobox. {ECO:0000255|PROSITE-ProRule:PRU00108}.
O15117	
P49454	
Q96Q06	
Q5THK1	
Q8N7S6	
Q13439	
A6H8Y1	
Q1XH10	
Q86XN7	
Q8N769	
Q8N6T0	
O95171	
Q8TC20	
Q5VXU9	
Q9Y448	
Q86T75	
Q08050	DNA_BIND 235 327 Fork-head. {ECO:0000255|PROSITE-ProRule:PRU00089}.
Q5T0J3	
Q4G0S7	
Q8IW00	
Q9H2Q1	
Q8N326	
Q5SZJ8	
Q96MG2	
Q01844	
Q12815	
Q13522	
Q5VUJ9	
Q96F24	
Q53S99	
Q8N2X6	
Q9BXB7	
Q15532	
Q86VR7	
Q4V328	
Q14687	
Q96EA4	
Q9UIS9	
Q86VM9	
Q5SY85	
Q49MG5	
Q6PJW8	
P59103	
Q9NY35	
Q8N660	
P53355	
Q3LI60	
Q8NFC6	DNA_BIND 2872 2884 A.T hook.
Q15075	
Q9BVL2	
Q9H1E3	
Q9C0D2	
Q8NCX0	
Q5VT06	
A2RU37	
P0C853	
O15063	
P02812	
Q9H0D2	
P56555	
Q8N8E3	
Q9UPV0	
Q6P0N0	
Q7Z2K8	
Q6ZS62	
Q9GZY1	
Q5T9S5	
Q5MJ10	
Q86X51	
Q8TCU4	
Q86T90	
Q562F6	
Q96E35	
Q12888	
