Entry	DNA binding
P49006	
Q3KQU3	
Q8TBY8	
P07951	
Q6ZUS5	
Q86YF9	
Q5M775	
Q9H307	
Q8ND07	
A8MUI8	
O15083	
Q96EI5	
A6NL46	
Q8NDX5	
Q5T0Z8	
A2A2Z9	
Q8WXW3	
Q6ZU80	
O15231	
O95613	
Q02383	
Q8IXT2	DNA_BIND 42 89 DM. {ECO:0000255|PROSITE-ProRule:PRU00070}.
I6L899	
A6NDN3	
Q14781	DNA_BIND 75 87 A.T hook.
Q9H987	
A6NHQ4	
Q5VU43	
Q8N7Z2	
Q9Y6A5	
Q969E4	
Q9NXZ1	
P0C7A2	
Q8IUD2	
Q5QJ38	
A6NIJ5	
Q8TD31	
Q6NUN7	
O95218	
Q8NB25	
Q9ULK2	
Q96IZ0	
Q96ST8	
Q02952	
Q8TC20	
P53814	
Q6P6B1	
A7E2F4	
Q9H0G5	
Q641Q2	
Q6ZQT0	
Q9UKV3	
Q5T7N2	
P0CW27	
Q9BYW2	
O95447	
Q9BZW7	
Q8IYT3	
Q8IWF9	
O43516	
A0MZ66	
Q69YQ0	
Q96CB8	
Q15007	
P09493	
O14776	
P23511	DNA_BIND 296 321 NFYA/HAP2-type. {ECO:0000255|PROSITE-ProRule:PRU00966}.
E7EW31	
A7MD48	
Q9H1E3	
Q12815	
Q9NZP6	
P10636	
P0C7W8	
Q9UKJ3	
A6NDB9	
Q569K6	
O15117	
A8MV72	
Q6IPX3	
Q8IYF1	
Q0P6D6	
A6NI79	
Q494V2	
Q8TD16	
Q68D10	
Q9ULE4	
O95931	
Q13061	
Q96LK8	
Q05682	
A6NNT2	
Q86VM9	
Q15431	
Q8NEH6	
Q04118	
Q6ZQX7	
Q9BT92	
Q8IYE1	
A8MZA4	
Q96MG2	
Q8NEP4	
Q6ZMI0	
Q5TB80	
Q9P1V8	
P46013	
P78364	
Q5MJ10	
Q96F05	
Q66GS9	
D6RF30	
P49918	
O60732	
Q9UDT6	
P10645	
Q96NL6	
Q96ST2	
Q9Y592	
Q5QJE6	
Q9P127	
Q6VMQ6	
Q6ZUT1	
O75459	
Q8N0S2	
Q01850	
Q86T90	
Q8N3K9	
Q2NL68	
Q2M243	
Q8IVF6	
A6NMD2	
P23327	
Q07283	
Q6NYC8	
Q96M34	
Q8ND24	
P98088	
A8MUU9	
H3BSY2	
Q7Z2K8	
Q86VQ1	
Q9UJC3	
Q96CV9	
Q9NYZ3	
O94986	
I3L3R5	
Q96K80	
Q96B01	
Q96CN9	
Q96AA8	
O94850	
Q4G0X9	
Q8NCX0	
A8MQT2	
Q9ULL0	
Q8IYA2	
Q685J3	
Q5HY64	
Q9Y6K9	
Q86X95	
Q5T9S5	
Q08379	
Q4L180	
O75157	
A0A044PY82	
Q96KP6	
A6NEW6	
A6H8Y1	
Q9ULD2	
Q9Y228	
P51608	DNA_BIND 185 197 A.T hook 1.; DNA_BIND 265 277 A.T hook 2.
Q8NA70	
Q8NET4	
Q14BN4	
Q9HCH0	
Q9H321	
Q8IXK0	
O00461	
P45379	
Q9H0M4	
Q9NS56	
Q9UBG3	
P0C7W9	
Q9BSW2	
E2RYF6	
Q6ZP82	
P80723	
O60437	
Q8N7P7	
B4DH59	
Q9ULV3	
Q7Z6B0	
Q8N5Q1	
Q8IYY4	
Q53EZ4	
Q3BBV1	
D6REC4	
Q96MT8	
Q658T7	
Q92750	
Q9Y608	
Q9H7N4	
Q5M9N0	
Q6ZVF9	
Q3BBW0	
F8WBI6	
Q5JRC9	
Q8N9E0	
Q86VQ3	
Q8N998	
O43493	
Q5T749	
Q8WVC0	
P15941	
Q9NZW4	
O75330	
Q86TE4	
Q96LP2	
P12270	
Q07065	
Q14093	
Q6P2H3	
Q8NF67	
Q3MIW9	
Q96T51	
Q8NG31	
Q8IYB3	
Q14980	
A6NC78	
Q9UPN4	
Q5JU67	
Q02505	
Q3BBV2	
Q5T6C5	
P78559	
P04280	
Q86V48	
P04279	
Q8N6V9	
Q9Y2D8	
O15240	
Q3SY00	
Q96N16	
Q9H320	
P49756	
Q9BW71	
Q5T5S1	
Q69YH5	
Q15714	
H3BPF8	
P0C7W6	
P17677	
Q9UKN1	
Q0D2H9	
Q9Y6X0	DNA_BIND 584 596 A.T hook 1.; DNA_BIND 1016 1028 A.T hook 2.; DNA_BIND 1451 1463 A.T hook 3.
Q5BJE1	
Q6IPM2	
H3BV12	
Q8NEF3	
A6NDY2	
Q8NCU4	
Q9H6F5	
Q96KC9	
Q9NNX9	
O43719	
A4FU49	
Q8IVM0	
Q9H322	
Q5SSG8	
A6NE21	
P20810	
O14598	
Q8IYE0	
Q9H5N1	
Q9H2D6	
Q8TD10	
Q8WXA9	
Q9BXG8	
Q5TZJ5	
Q96EV2	
I3L273	
A5D8V7	
Q9UL16	
Q0VD83	
Q49MG5	
A6NC57	
Q5H9L2	
O95229	
Q8N9W4	
Q15025	
Q8IZU1	
P07476	
Q8N6Y0	
A6NNJ1	
A6NEY3	
Q13428	
Q9NWB6	
Q16204	
P54259	
Q9P219	
B1AJZ9	
Q96QF7	
Q9BWN1	
A1A5D9	
Q86XR8	
D6RGX4	
Q8N3L3	
P51816	
H3BQL2	
Q8NFZ5	
Q9NNX1	
Q7Z4V5	
Q969V6	
Q14244	
Q8NDH2	
Q13875	
Q86XN7	
A1L443	
Q96EA4	
Q9H7C4	
P61129	
H0YKK7	
Q7Z7A1	
Q6ZUS6	
Q9BXL5	
Q9NUD7	
Q9UPV0	
P20930	
Q6ZW33	
Q8TBA6	
O95817	
Q5VT06	
Q5VSY0	
Q6ZN01	
Q0VF96	
P49321	
Q8N8E3	
P82094	
B3KS81	
Q9P2B7	
O94913	
Q4V328	
Q7Z7B0	
Q9UFE4	
O15234	
Q9H2F9	
Q14978	
O95359	
Q14789	
P0DJG4	
O75152	
Q5VU36	
Q5VYM1	
Q9BR77	
Q5T3I0	
P0CAP1	
O75952	
Q8IWC1	
Q8NCY6	
Q12888	
Q9P2M7	
Q96RK0	DNA_BIND 200 268 HMG box. {ECO:0000255|PROSITE-ProRule:PRU00267}.
Q5HYW2	
P51825	
Q6ZP65	
A8MXJ8	
Q9H3H9	
O95503	
P30414	
A2IDD5	
Q96Q35	
Q6PJT7	
Q6JBY9	
Q6ZU35	
Q9ULJ1	
P30622	
Q9BUV0	
O75363	
A6NJQ4	
A8MWA6	
Q5T7V8	
Q96JE9	
A6NEE1	
A6NEF3	
A6NKC0	
Q96A19	
P40222	
Q5VVM6	
Q86VQ0	
Q96M91	
Q9UMS6	
Q8TF01	
Q32MZ4	
Q86T75	
Q8N6L0	
Q9NUQ3	
Q96G01	
Q9NYF8	
Q5BKY9	
O15069	
Q9P206	
P0CJ92	
Q05D60	
A6NGH7	
Q3B820	
Q8TBZ0	
Q86UE4	
A6NEM1	
Q2M329	
Q9UHB7	
A8MZF0	
A6NN73	
Q9BXM0	
Q96QH2	
Q5T0U0	
Q86YD7	
Q08378	
Q8IZQ8	
Q6ZRG5	
Q5D862	
Q12799	
Q5TZA2	
P82970	
Q8IWJ2	
A6NDK9	
Q7Z3E2	
Q6TFL3	
Q15276	
Q96JN2	
Q96M83	
Q6ZMV7	
Q7L4I2	
Q6MZM9	
Q02817	
Q9UF83	
A8MUA0	
Q9UHL3	
Q9BUL5	
B9ZVM9	
Q13316	
Q9C099	
Q86SQ7	
Q0VFZ6	
O75410	
Q9H0E3	
Q96BD5	DNA_BIND 425 437 A.T hook.
O14513	
A8MXZ1	
P13805	
Q9HCM1	
Q5TF21	
Q9ULD9	
Q5BJF6	
Q9Y3X0	
A6NC98	
Q8N3V7	
P84157	
Q2TAC2	
P06753	
Q9Y2W2	
Q5VTR2	
A6NI56	
A6NNH2	
Q86VS8	
Q13123	
A5YM69	
Q92805	
Q9UHB6	
O00515	
Q14203	
F8WAN1	
Q96DN6	
Q9Y6D9	
Q8N715	
Q7Z589	
A8MX19	
Q96NA2	
Q86UU5	
Q96IZ7	
Q5VWG9	
Q15075	
Q8TF74	
P45378	
Q6ZUT6	
Q9NQS7	
Q9NYA3	
Q68D86	
A6NCC3	
Q3MJ40	
P0CG33	
Q16630	
P23508	
Q8N4Y2	
P27816	
A8K0R7	
Q8N655	
P35663	
A2RUR9	
Q8IVE0	
K7EPK0	
Q1ED39	
Q9NXR1	
O75807	
Q6ZRK6	
P0C7V4	
Q5T655	
Q3V6T2	
Q9NQR7	
Q08AF8	
Q5VZ66	
Q96HJ3	
A6NI86	
Q9H0I3	
