Entry	DNA binding
Q4KMX7	
Q9UHL3	
Q4G0G5	
Q6IC83	
Q9ULZ0	
Q9H322	
P62945	
Q8N9W4	
C9JC47	
Q9NZY2	
Q96MW7	DNA_BIND 33 53 H-T-H motif. {ECO:0000250}.; DNA_BIND 103 142 H-T-H motif. {ECO:0000250}.
Q494X1	
Q96T59	
Q9XRX5	
P0C7A2	
Q8IZU1	
F8WFD2	
P62273	
Q9NR90	
A6NNP5	
P62899	
Q9NRR3	
Q9Y3U8	
Q92624	
P62750	
P0DJD4	
P60896	
Q9Y536	
P09429	DNA_BIND 9 79 HMG box 1. {ECO:0000255|PROSITE-ProRule:PRU00267}.; DNA_BIND 95 163 HMG box 2. {ECO:0000255|PROSITE-ProRule:PRU00267}.
P62937	
A6NJU9	
A6NKU9	
Q5MJ08	
Q53H47	DNA_BIND 364 395 H-T-H motif. {ECO:0000250}.; DNA_BIND 428 448 H-T-H motif.
O14598	
Q5SY85	
A6NEF3	
P62854	
Q9NQZ3	
Q9Y421	
P06899	
P05783	
Q6NUI1	
Q6ZS94	
P05114	
Q9HBF5	
P06748	
P56385	
Q9NZW4	
Q9UFV1	
P17096	DNA_BIND 21 31 A.T hook 1.; DNA_BIND 53 63 A.T hook 2.; DNA_BIND 78 89 A.T hook 3.
O76100	
Q8NFZ6	
A6NDE4	
Q17RH7	
P62753	
Q5JRC9	
Q9H320	
P02792	
Q7Z5H5	
P61927	
P30050	
C9JFL3	
O75947	
Q6P3W6	
B1APH4	
Q86YR6	
Q96FJ2	
Q6H3X3	
Q15622	
Q8N2X6	
A8MQB3	
Q8N8H1	
P62987	
A1XBS5	
P09669	
Q9UHQ7	
O14599	
O14519	
Q5TI25	
Q71UI9	
P0CG48	
Q13117	
P02810	
O14581	
Q8WU67	
Q9H0Y0	
P18124	
Q5T1B1	
Q8WTP9	
P62701	
Q9H7B7	
Q49AR2	
P14373	
P63167	
P62979	
Q9Y225	
Q8WZ69	
Q5JUK9	
P35241	
Q9NXZ1	
Q9P0N8	
P61247	
Q8TBM7	
Q6ZP68	
Q9NNX9	
Q5TA79	
Q6PI25	
O60732	
P49207	
A6QL64	
P0C0S5	
A6NJ69	
P62316	
O75506	
P39019	
P13164	
P14854	
Q3LI70	
P43363	
Q9NSI6	
Q9P0U1	
Q6L8G5	
P02812	
P61604	
Q5VVP1	
P78358	
P05387	
P62304	
Q6ZVN7	
P23763	
Q6P5R6	
Q96LA5	
P07476	
Q71UM5	
Q8N816	
O96008	
Q8TF68	
P56211	
Q9H0Q3	
Q8NBR9	
Q68DK7	
P13693	
A6NEQ0	
Q96C90	
Q96MZ4	
Q96L21	
Q6ZQQ2	
Q3LI63	
P08118	
Q13794	
Q8N8I6	
Q93045	
Q3LI59	
Q96RM1	
Q8IZT9	
P0C7Q2	
Q8WXQ3	
Q8WXC7	
P55774	
P35232	
Q96C01	
A6NE09	
Q495D7	
P37108	
Q6L8H4	
Q5JRK9	
Q5VYP0	
Q6NZ67	
P18621	
Q9BS18	
Q13875	
Q15847	
Q9UBC9	
A2RUR9	
Q8NG57	
Q6RUI8	
Q8N910	
Q15836	
P25398	
P43364	
Q86XT2	
P46778	
P61970	
Q9H147	DNA_BIND 159 173 A.T hook. {ECO:0000305|PubMed:23874396}.; DNA_BIND 216 237 H-T-H motif. {ECO:0000305|PubMed:23874396}.
Q5SRD3	
Q96FX2	
Q8IW36	
Q59EK9	
Q9NZH6	
Q9NXT0	
P62891	
Q6UXB2	
P62424	
P56555	
O14628	
P46783	
A5D6W6	
Q5VU36	
Q7L4S7	
Q6PB30	
Q07283	
Q15388	
O96019	
O75934	
P59646	
P60508	
Q32P51	
P23327	
Q9HCI6	
P54710	
P31942	
Q96CB5	
P62913	
Q96HT8	
P63220	
Q9HCN2	
Q5T0J3	
Q8TAI1	
Q6ZRZ4	
P00338	
Q8N446	
Q9UBU8	
P62841	
A0PJW8	
P32969	
P62263	
Q9BYD5	
Q580R0	
Q6ZV73	
Q96F85	
P62269	
P59542	
Q9BZS1	DNA_BIND 337 423 Fork-head. {ECO:0000255|PROSITE-ProRule:PRU00089}.
Q96A04	
Q96JJ6	
Q6ZUB1	
Q6S8J3	
P23490	
Q99217	
Q6ICG6	
P81605	
Q9UHV5	
Q86VQ3	
O14603	
Q3LI58	
A6NL88	
Q9NQY0	
O75373	
Q08117	
Q5H9T9	
P61956	
F5H284	
P99999	
P59544	
Q8NB37	
Q9NX14	
P22531	
Q5T7N2	
Q5FWF6	
Q9BYE3	
Q5TCM9	
P82663	
Q6NXT4	
P0CW00	
P57730	
P0C7W6	
A1KXE4	
O75054	
Q6ZUU3	
Q14119	
Q9Y2X8	
Q969H9	
Q99967	
Q8IZU3	
Q9H1K6	
Q8WUY8	
P0CV98	
Q9BZM6	
Q5T7P3	
Q9UHA3	
Q8TBE1	
P60331	
Q8N9H6	
A2RU37	
P55327	
Q5TA76	
Q6L8H1	
Q8WVK2	
Q96EH5	
O75177	
Q99720	
Q8WUB2	
P0C7P1	
Q9NV56	
Q6P5X7	
Q8IUH3	
Q9Y618	
Q86TS9	
P0CW01	
