Entry	Keywords
A0A024RAP8	Complete proteome; Membrane; Reference proteome; Transmembrane; Transmembrane helix
A0A044PY82	Coiled coil; Complete proteome; Proteomics identification; Reference proteome
A0A075B6F4	Complete proteome; Reference proteome; Signal
A0A075B6H5	Complete proteome; Reference proteome; Signal
A0A075B6H7	Complete proteome; Reference proteome; Signal
A0A075B6H8	Complete proteome; Reference proteome; Signal
A0A075B6H9	Complete proteome; Proteomics identification; Reference proteome; Signal
A0A075B6I0	Complete proteome; Proteomics identification; Reference proteome; Signal
A0A075B6I1	Complete proteome; Proteomics identification; Reference proteome; Signal
A0A075B6I2	Complete proteome; Proteomics identification; Reference proteome; Signal
A0A075B6I3	Complete proteome; Reference proteome; Signal
A0A075B6I4	Complete proteome; Proteomics identification; Reference proteome; Signal
A0A075B6I5	Complete proteome; Proteomics identification; Reference proteome; Signal
A0A075B6I6	Complete proteome; Proteomics identification; Reference proteome; Signal
A0A075B6I7	Complete proteome; Proteomics identification; Reference proteome; Signal
A0A075B6I8	Complete proteome; Proteomics identification; Reference proteome; Signal
A0A075B6I9	Complete proteome; Proteomics identification; Reference proteome; Signal
A0A075B6J0	Complete proteome; Proteomics identification; Reference proteome; Signal
A0A075B6J1	Complete proteome; Proteomics identification; Reference proteome; Signal
A0A075B6J2	Complete proteome; Reference proteome; Signal
A0A075B6J3	Complete proteome; Proteomics identification; Reference proteome; Signal
A0A075B6J4	Complete proteome; Proteomics identification; Reference proteome; Signal
A0A075B6J5	Complete proteome; Reference proteome; Signal
A0A075B6J6	Complete proteome; Reference proteome; Signal
A0A075B6J7	Complete proteome; Proteomics identification; Reference proteome; Signal
A0A075B6J8	Complete proteome; Proteomics identification; Reference proteome; Signal
A0A075B6J9	Complete proteome; Proteomics identification; Reference proteome; Signal
A0A075B6K0	Complete proteome; Proteomics identification; Reference proteome; Signal
A0A075B6K1	Complete proteome; Proteomics identification; Reference proteome; Signal
A0A075B6K2	Complete proteome; Proteomics identification; Reference proteome; Signal
A0A075B6K3	Complete proteome; Proteomics identification; Reference proteome; Signal
A0A075B6K4	Complete proteome; Proteomics identification; Reference proteome; Signal
A0A075B6K5	Complete proteome; Proteomics identification; Reference proteome; Signal
A0A075B6K6	Complete proteome; Reference proteome; Signal
A0A075B6K7	Complete proteome; Reference proteome; Signal
A0A075B6L2	Complete proteome; Reference proteome
A0A075B6L6	Complete proteome; Reference proteome; Signal
A0A075B6M9	Complete proteome; Reference proteome; Signal
A0A075B6N1	Complete proteome; Reference proteome; Signal
A0A075B6N2	Complete proteome; Reference proteome; Signal
A0A075B6N3	Complete proteome; Reference proteome; Signal
A0A075B6P5	Complete proteome; Proteomics identification; Reference proteome; Signal
A0A075B6Q4	Complete proteome; Reference proteome
A0A075B6Q5	Complete proteome; Proteomics identification; Reference proteome; Signal
A0A075B6R0	Complete proteome; Reference proteome; Signal
A0A075B6R1	Complete proteome; Proteomics identification; Reference proteome
A0A075B6R2	Complete proteome; Reference proteome; Signal
A0A075B6R9	Complete proteome; Reference proteome; Signal
A0A075B6S0	Complete proteome; Reference proteome
A0A075B6S2	Complete proteome; Proteomics identification; Reference proteome; Signal
A0A075B6S3	Complete proteome; Reference proteome; Signal
A0A075B6S4	Complete proteome; Reference proteome; Signal
A0A075B6S5	Complete proteome; Proteomics identification; Reference proteome; Signal
A0A075B6S6	Complete proteome; Proteomics identification; Reference proteome; Signal
A0A075B6S9	Complete proteome; Reference proteome; Signal
A0A075B6T6	Complete proteome; Reference proteome; Signal
A0A075B6T7	Complete proteome; Reference proteome
A0A075B6T8	Complete proteome; Reference proteome; Signal
A0A075B6U4	Complete proteome; Reference proteome; Signal
A0A075B6U6	Complete proteome; Reference proteome; Signal
A0A075B6U7	Complete proteome; Reference proteome
A0A075B6U8	Complete proteome; Reference proteome
A0A075B6U9	Complete proteome; Reference proteome
A0A075B6V0	Complete proteome; Reference proteome
A0A075B6V1	Complete proteome; Reference proteome
A0A075B6V2	Complete proteome; Reference proteome
A0A075B6V3	Complete proteome; Reference proteome
A0A075B6V5	Complete proteome; Reference proteome; Signal
A0A075B6V6	Complete proteome; Reference proteome
A0A075B6V7	Complete proteome; Reference proteome
A0A075B6V8	Complete proteome; Reference proteome
A0A075B6V9	Complete proteome; Reference proteome
A0A075B6W1	Complete proteome; Reference proteome
A0A075B6W2	Complete proteome; Reference proteome
A0A075B6W3	Complete proteome; Reference proteome
A0A075B6W4	Complete proteome; Reference proteome
