Entry	Keywords
P82970	Chromatin regulator; Complete proteome; DNA-binding; Isopeptide bond; Nucleus; Phosphoprotein; Reference proteome; Transcription; Transcription regulation; Ubl conjugation
P35663	Complete proteome; Cytoplasm; Cytoskeleton; Developmental protein; Differentiation; Polymorphism; Reference proteome; Repeat; Spermatogenesis
Q07283	Calcium; Citrullination; Complete proteome; Keratinization; Metal-binding; Polymorphism; Reference proteome; Repeat
Q9H321	Alternative splicing; Complete proteome; Polymorphism; Reference proteome; Repeat
A8MUU9	Complete proteome; Reference proteome
Q6ZRG5	Complete proteome; Reference proteome
Q8N7Z2	Coiled coil; Complete proteome; Reference proteome
Q9H320	Complete proteome; Polymorphism; Reference proteome; Repeat
A8MZA4	Coiled coil; Complete proteome; Reference proteome
H3BPF8	Coiled coil; Complete proteome; Reference proteome
A0MZ66	Acetylation; Alternative splicing; Cell projection; Coiled coil; Complete proteome; Cytoplasm; Cytoskeleton; Developmental protein; Direct protein sequencing; Phosphoprotein; Reference proteome
A6NEF3	Coiled coil; Complete proteome; Reference proteome
B3KS81	Complete proteome; Reference proteome
H3BQL2	Coiled coil; Complete proteome; Reference proteome
Q13316	Alternative splicing; Biomineralization; Complete proteome; Cytoplasm; Extracellular matrix; Glycoprotein; Nucleus; Phosphoprotein; Polymorphism; Reference proteome; Secreted; Signal
Q8N9W4	Alternative splicing; Coiled coil; Complete proteome; Polymorphism; Reference proteome
Q9NWB6	Alternative splicing; Complete proteome; Nucleus; Phosphoprotein; Reference proteome; Transcription; Transcription regulation
Q9NYA3	Coiled coil; Complete proteome; Polymorphism; Reference proteome
A7MD48	Complete proteome; Differentiation; Nucleus; Phosphoprotein; Polymorphism; RNA-binding; Reference proteome; mRNA processing; mRNA splicing
P04280	Complete proteome; Direct protein sequencing; Glycoprotein; Phosphoprotein; Polymorphism; Pyrrolidone carboxylic acid; Reference proteome; Repeat; Secreted; Signal
P0CG33	Coiled coil; Complete proteome; Reference proteome
Q04118	Complete proteome; Direct protein sequencing; Disulfide bond; Glycoprotein; Phosphoprotein; Polymorphism; Pyrrolidone carboxylic acid; Reference proteome; Repeat; Secreted; Signal
Q9H6F5	Alternative splicing; Citrullination; Coiled coil; Complete proteome; Host-virus interaction; Nucleus; Phosphoprotein; Polymorphism; Reference proteome
Q9NZW4	Biomineralization; Calcium; Complete proteome; Deafness; Disease mutation; Extracellular matrix; Glycoprotein; Phosphoprotein; Polymorphism; Reference proteome; Secreted; Sialic acid; Signal
A6NI86	Coiled coil; Complete proteome; Reference proteome
D6RF30	Coiled coil; Complete proteome; Reference proteome
P04279	Alternative splicing; Complete proteome; Direct protein sequencing; Disulfide bond; Polymorphism; Pyrrolidone carboxylic acid; Reference proteome; Repeat; Secreted; Signal
P07476	3D-structure; Complete proteome; Cytoplasm; Direct protein sequencing; Isopeptide bond; Keratinization; Lipoprotein; Polymorphism; Reference proteome; Repeat
P17677	Alternative splicing; Calmodulin-binding; Cell junction; Cell membrane; Cell projection; Complete proteome; Developmental protein; Differentiation; Growth regulation; Lipoprotein; Membrane; Neurogenesis; Palmitate; Phosphoprotein; Polymorphism; Reference proteome; Synapse
Q08AF8	Alternative splicing; Coiled coil; Complete proteome; Reference proteome
Q5M9N0	Alternative splicing; Coiled coil; Complete proteome; Polymorphism; Reference proteome
Q6ZQX7	Alternative splicing; Complete proteome; Polymorphism; Reference proteome; Repeat
Q6ZU80	Alternative splicing; Coiled coil; Complete proteome; Cytoplasm; Cytoskeleton; Phosphoprotein; Polymorphism; Reference proteome
Q6ZVF9	Complete proteome; Phosphoprotein; Polymorphism; Reference proteome
Q8IVM0	Acetylation; Alternative splicing; Coiled coil; Complete proteome; Cytoplasm; Deafness; Non-syndromic deafness; Phosphoprotein; Polymorphism; Reference proteome
Q8IZU1	Complete proteome; Nucleus; Reference proteome
Q8TBZ0	Alternative splicing; Coiled coil; Complete proteome; Nucleus; Phosphoprotein; Polymorphism; Reference proteome
Q9H7N4	Complete proteome; Nucleus; Phosphoprotein; Polymorphism; RNA-binding; Reference proteome; Repeat; mRNA processing; mRNA splicing
Q9Y592	Alternative splicing; Ciliopathy; Cilium biogenesis/degradation; Coiled coil; Complete proteome; Cytoplasm; Cytoskeleton; Disease mutation; Nephronophthisis; Phosphoprotein; Polymorphism; Reference proteome
A6NC78	Coiled coil; Complete proteome; Golgi apparatus; Membrane; Reference proteome
A6NDK9	Coiled coil; Complete proteome; Reference proteome
A6NDN3	Coiled coil; Complete proteome; Polymorphism; Reference proteome
A6NMD2	Coiled coil; Complete proteome; Reference proteome
A6NN73	Coiled coil; Complete proteome; Reference proteome
H3BV12	Coiled coil; Complete proteome; Reference proteome
I6L899	Alternative splicing; Coiled coil; Complete proteome; Reference proteome
O75330	Alternative splicing; Complete proteome; Cytoplasm; Glycoprotein; Hyaluronic acid; Phosphoprotein; Polymorphism; Reference proteome; Repeat
P20810	Acetylation; Alternative splicing; Complete proteome; Isopeptide bond; Palmoplantar keratoderma; Phosphoprotein; Polymorphism; Protease inhibitor; Reference proteome; Repeat; Thiol protease inhibitor; Ubl conjugation
Q05682	Actin-binding; Alternative splicing; Calmodulin-binding; Complete proteome; Cytoplasm; Cytoskeleton; Muscle protein; Phosphoprotein; Polymorphism; Reference proteome; Repeat
Q16204	Acetylation; Chromosomal rearrangement; Coiled coil; Complete proteome; Cytoplasm; Cytoskeleton; Phosphoprotein; Polymorphism; Proto-oncogene; Reference proteome; Repeat; SH3-binding
Q32MZ4	3D-structure; Acetylation; Alternative splicing; Coiled coil; Complete proteome; Cytoplasm; DNA-binding; Nucleus; Phosphoprotein; Polymorphism; Reference proteome; Repressor; Transcription; Transcription regulation
