Entry	DNA binding
Q5W0A0	
P49765	
Q9ULL0	
O95813	
Q8N8N0	
Q92838	
Q8TER5	
Q6IPT2	
Q1X8D7	
Q32MZ4	
P55089	
Q5VV17	
O15062	
Q8NDZ0	
Q9P127	
Q8N8C0	
P0C7M4	DNA_BIND 134 193 Homeobox. {ECO:0000255|PROSITE-ProRule:PRU00108}.
Q5JTC6	
Q6ZN18	
Q9NW07	
Q9UKV3	
Q86T96	
Q5VZP5	
P27987	
Q96MM7	
Q4KMP7	
Q9BT49	
P51861	
Q5HYC2	
O94993	DNA_BIND 337 405 HMG box. {ECO:0000255|PROSITE-ProRule:PRU00267}.
E9PAV3	
Q7Z6M2	
O75298	
Q5TGY3	DNA_BIND 396 408 A.T hook 1.; DNA_BIND 544 556 A.T hook 2.
Q7Z6L0	
O75426	
Q8N5G0	
Q96FV0	
Q8N8R7	
Q6EMK4	
Q14011	
Q99457	
Q9BWN1	
Q9BQY4	DNA_BIND 134 193 Homeobox. {ECO:0000255|PROSITE-ProRule:PRU00108}.
A2RUB1	
P81408	
Q8NFJ8	
G3V2L1	
A6NHQ4	
O75593	DNA_BIND 32 128 Fork-head. {ECO:0000255|PROSITE-ProRule:PRU00089}.
O95429	
Q685J3	
Q8WY41	
Q9NZU7	
Q8N100	
Q9H5L6	
Q8WV24	
O15054	
Q14119	
Q9H4L4	
Q9UGU5	DNA_BIND 407 475 HMG box. {ECO:0000255|PROSITE-ProRule:PRU00267}.
P48382	DNA_BIND 92 168 RFX-type winged-helix. {ECO:0000255|PROSITE-ProRule:PRU00858}.
Q96PK6	
O75952	
P0C1Z6	
P41279	
P08519	
Q8IZL8	
A6NEQ2	
Q8N8K9	
Q96DN6	
Q9C0J8	
Q9C0D4	
Q07820	
F8VVB4	
Q6YI46	
O75791	
Q8N446	
Q9UHR6	
Q4G112	DNA_BIND 10 200 {ECO:0000250}.
Q8N196	DNA_BIND 201 260 Homeobox. {ECO:0000255|PROSITE-ProRule:PRU00108}.
Q9GZM5	
O75398	
Q6IQ21	
F8WCM5	
Q7Z6K1	
Q8NCA9	
Q13061	
Q96HI0	
Q8IUX7	
Q8NAP3	
Q9BWV3	
Q8IVW1	
Q8IWZ5	
Q587J8	
O15156	
Q14134	
Q6P4D5	
P59894	
Q8WY91	
Q86W74	
Q9H4Z2	
Q92858	
O00221	
Q8NCP5	
Q68D85	
Q5FWE3	
P0C7T5	
O43167	DNA_BIND 159 171 A.T hook.
Q5W0B1	
Q86Y13	
Q15345	
Q9BZE0	
Q5VZ19	
Q8TCV5	
Q9NZP6	
Q9UMF0	
Q9UF56	
Q9BQI6	
Q96JP5	
Q9H2J1	
F8VWA3	
Q6ZWB6	
P20930	
Q5SSJ5	
Q14264	
Q05925	DNA_BIND 303 362 Homeobox. {ECO:0000255|PROSITE-ProRule:PRU00108}.
Q6ZU65	
P56975	
Q9HA38	
Q9H213	
Q05215	
A6NJG6	DNA_BIND 78 137 Homeobox. {ECO:0000255|PROSITE-ProRule:PRU00108}.
Q6UXP3	
O15209	
