Entry	DNA binding
Q96KR7	
Q9UPN3	
Q9P2D8	
Q6WCQ1	
Q8IY33	
Q9UIF8	
O95202	
P53539	
Q9H2D6	
P22105	
Q5T4S7	
Q96L91	
Q8NHV5	
Q99835	
P42263	
P08519	
Q14938	DNA_BIND 1 194 CTF/NF-I. {ECO:0000255|PROSITE-ProRule:PRU00436}.
C9JG80	
Q9HCK8	
Q8N122	
Q86U70	
P21127	
Q96QR8	DNA_BIND 28 254 {ECO:0000250}.
Q14157	
Q8N9N5	
Q13952	
Q7Z4S6	
Q9Y4C0	
P15941	
P07996	
O95819	
Q8IVV2	
P56945	
Q9BX66	
Q9Y4K0	
Q6UN15	
A6NIR3	
Q96EP0	
Q9H7L9	
Q92890	
Q8N5G0	
P18206	
Q8N9K5	
O14713	
P61421	
P42857	
Q14C86	
Q7L273	
Q9H7Z6	
O75175	
P57103	
Q8NBZ0	
Q4J6C6	
Q9BZQ6	
P02462	
Q8N9R8	
Q96BD5	DNA_BIND 425 437 A.T hook.
Q92617	
O75911	
Q9NZC4	DNA_BIND 207 289 ETS. {ECO:0000255|PROSITE-ProRule:PRU00237}.
P22607	
P07900	
P52948	
P23634	
Q9NUL5	
Q96BJ3	
Q9P2R6	
Q8N138	
Q01538	
P04035	
P34931	
Q9H251	
Q5TAT6	
P24844	
Q9UJX3	
Q14315	
P35789	
Q53G59	
P18577	
Q13936	
Q8IW50	
Q8IW41	
Q9UM54	
Q6STE5	
P56703	
Q9HAV0	
Q9UK53	
P05387	
Q9P0S3	
Q05901	
Q12802	
Q8WXS8	
Q7Z4I7	
Q9UNS1	
E9PJ23	
Q86YT6	
Q9Y5V3	
Q9H2H0	
Q14055	
O75154	
Q9Y4J8	
Q9UKE5	
P01911	
Q9UKA2	
Q14141	
Q96JB1	
Q5VU97	
O14628	
Q7Z5Q1	
Q9P2G3	
Q9NPC7	
Q02641	
P43007	
O75891	
Q86SR1	
P48443	DNA_BIND 136 211 Nuclear receptor. {ECO:0000255|PROSITE-ProRule:PRU00407}.
O60243	
P23415	
P81408	
O43390	
A8MRT5	
Q9ULK4	
O94876	
Q5JPF3	
Q9NRC1	
P61225	
O94851	
P12883	
P19237	
O75914	
P0CG48	
P21817	
Q16445	
P07998	
P13533	
Q8NG11	
Q9H5I5	
O94973	
P55081	
Q5T7W0	
Q7Z5A9	
Q9P021	
Q6PUV4	
P04001	
P42684	
Q9HAR2	
O00167	
P58546	
Q96GF1	
Q96PM9	
Q9Y328	
Q9NRJ4	
P30532	
Q13123	
P08100	
Q3YEC7	
Q8N3A8	
Q9ULT8	
P49821	
P52306	
P15918	DNA_BIND 392 459 NBD. {ECO:0000255|PROSITE-ProRule:PRU00820}.
P28827	
Q9UP95	
Q8WXG6	
Q12857	DNA_BIND 1 194 CTF/NF-I. {ECO:0000255|PROSITE-ProRule:PRU00436}.
E9PAM4	
Q9NSA3	
Q92785	
Q16777	
Q13277	
Q63HM9	
Q86VZ6	
Q11203	
Q76I76	
Q53FP2	
Q8N4L2	
O75436	
Q9ULS5	
P09497	
Q8NAV1	
P49459	
P30876	
P58549	
P61803	
P09471	
Q16555	
P41594	
Q8N8S7	
P53675	
P10275	DNA_BIND 559 631 Nuclear receptor. {ECO:0000255|PROSITE-ProRule:PRU00407}.
Q9UI36	
Q9Y215	
P20042	
O60462	
P68371	
Q9ULH1	
B4DH59	
P48547	
P07437	
O43854	
O75324	
P50876	
Q2PZI1	
P34903	
Q15287	
P46937	
Q2PPJ7	
P18505	
P20908	
P51674	
Q9Y678	
P48167	
Q9Y233	
Q2M1K9	
Q15072	
Q9Y291	
O43679	
Q8N6C5	
P68133	
Q96SI9	
Q6X4W1	
Q8NDI1	
P14867	
Q9NZM3	
P0C0E4	
O95156	
P12931	
A8MPP1	
O75334	
Q8WYB5	
Q14966	DNA_BIND 1353 1477
Q96RW7	
Q9HAU4	
Q8N9F0	
Q04917	
Q9NYV4	
Q9BXS5	
Q5T5C0	
P02686	
Q9BXS0	
P15954	
O14810	
Q9UKG4	
P17066	
Q14031	
Q9H6U6	
Q5JRV8	
O76071	
Q8WZ73	
Q86VM9	
Q00610	
P13805	
O75155	
P52849	
Q8IVN3	
Q9Y210	
Q5JSQ8	
Q5VZY2	
Q9Y6M7	
Q5SW79	
O00712	DNA_BIND 1 195 CTF/NF-I. {ECO:0000255|PROSITE-ProRule:PRU00436}.
Q3ZCM7	
Q07352	
P13796	
P19087	
P47944	
P47869	
Q2TAZ0	
Q9H9Y6	
E9PJI5	
P08247	
Q9HCE5	
P38646	
Q5HYI8	
P51531	
P51513	
P40763	
Q92730	
O95071	
O00305	
P01229	
P02458	
Q9HCC9	
P32297	
P25705	
P09668	
P20648	
Q9P035	
Q5SZK8	
P23588	
Q30154	
Q9UPQ9	
O75200	
P0DMV8	
P0DMV9	
O94966	
Q9H9E1	
Q6P2Q9	
Q93098	
P52198	
Q86YW9	
