Entry	DNA binding
P82970	
P35663	
Q07283	
Q9H321	
A8MUU9	
Q6ZRG5	
Q8N7Z2	
Q9H320	
A8MZA4	
H3BPF8	
A0MZ66	
A6NEF3	
B3KS81	
H3BQL2	
Q13316	
Q8N9W4	
Q9NWB6	
Q9NYA3	
A7MD48	
P04280	
P0CG33	
Q04118	
Q9H6F5	
Q9NZW4	
A6NI86	
D6RF30	
P04279	
P07476	
P17677	
Q08AF8	
Q5M9N0	
Q6ZQX7	
Q6ZU80	
Q6ZVF9	
Q8IVM0	
Q8IZU1	
Q8TBZ0	
Q9H7N4	
Q9Y592	
A6NC78	
A6NDK9	
A6NDN3	
A6NMD2	
A6NN73	
H3BV12	
I6L899	
O75330	
P20810	
Q05682	
Q16204	
Q32MZ4	
Q4V328	
Q5T9S5	
Q6ZMV7	
Q7Z589	
Q8IWJ2	
Q8NB25	
Q9H1E3	
Q9NUQ3	
Q9Y608	
A6NDB9	
A6NEY3	
A7E2F4	
A8MQT2	
D6REC4	
P09493	
P12270	
P49006	
Q08379	
Q0D2H9	
Q5VU43	
Q7Z3E2	
Q8IUD2	
Q8IWC1	
Q96QH2	
Q9BXL5	
Q9NNX9	
Q9NQR7	
Q9ULE4	
B9ZVM9	
H3BSY2	
K7EPK0	
O15083	
P06753	
P78364	
Q08378	
Q15075	
Q4G0X9	
Q5QJ38	
Q5T749	
Q5VVM6	
Q6JBY9	
Q6ZUT1	
Q86TE4	
Q86VM9	
Q8IVE0	
Q8IYE1	
Q8N3L3	
Q8NCX0	
Q8NF67	
Q8WVC0	
Q9BT92	
Q9H2F9	
Q9H7C4	
Q9P127	
Q9UL16	
A6NCC3	
A6NEM1	
A6NI79	
A8MV72	
H0YKK7	
O00461	
O14513	
P07951	
P0CJ92	
P23508	
Q02383	
Q02952	
Q12799	
Q15276	
Q3BBV2	
Q3MJ40	
Q3V6T2	
Q5T0Z8	
Q5T7N2	
Q5VZ66	
Q658T7	
Q66GS9	
Q7Z6B0	
Q8IYE0	
Q8N6V9	
Q8N9E0	
Q8ND24	
Q8TBY8	
Q8TD31	
Q96AA8	
Q96JN2	
Q96KP6	
Q96NL6	
Q96QF7	
Q9H5N1	
Q9HCH0	
Q9P219	
Q9Y2W2	
A1A5D9	
A4FU49	
A6NGH7	
A6NNH2	
E7EW31	
F8WAN1	
F8WBI6	
I3L273	
O15240	
O60732	
O95817	
P0CAP1	
P20930	
P40222	
P80723	
Q14093	
Q14980	
Q15431	
Q3KQU3	
Q494V2	
Q5BJE1	
Q5BJF6	
Q5T6C5	
Q6P6B1	
Q6ZN01	
Q7Z2K8	
Q7Z7A1	
Q86SQ7	
Q86VQ0	
Q8IYB3	
Q8N8E3	
Q8NEF3	
Q8NEH6	
Q8NEP4	
Q92805	
Q96MG2	
Q96N16	
Q96RK0	DNA_BIND 200 268 HMG box. {ECO:0000255|PROSITE-ProRule:PRU00267}.
Q9BW71	
Q9BXG8	
Q9P2M7	
Q9UKV3	
Q9ULL0	
Q9UMS6	
A6NE21	
A8MUA0	
A8MWA6	
A8MZF0	
B1AJZ9	
O00515	
O14598	
O15069	
O15117	
O75410	
O75459	
O75952	
O95447	
P27816	
P82094	
Q05D60	
Q14789	
Q2NL68	
Q2TAC2	
Q5BKY9	
Q5HYW2	
Q5JU67	
Q5MJ10	
Q5TB80	
Q5VTR2	
Q6ZP65	
Q6ZW33	
Q7L4I2	
Q7Z7B0	
Q8N5Q1	
Q8N715	
Q8NA70	
Q8NCU4	
Q8TF01	
Q8WXA9	
Q96A19	
Q96EA4	
Q96EV2	
Q96IZ7	
Q96MT8	
Q96Q35	
Q9BZW7	
Q9NNX1	
Q9P206	
Q9UFE4	
Q9Y6A5	
A5YM69	
A6NHQ4	
A6NNJ1	
E2RYF6	
O43516	
O94986	
P13805	
P54259	
Q07065	
Q0VF96	
Q13428	
Q14781	DNA_BIND 75 87 A.T hook.
Q16630	
Q1ED39	
Q53EZ4	
Q5H9L2	
Q5TF21	
Q5TZA2	
Q69YQ0	
Q6IPM2	
Q6ZRK6	
Q6ZUS6	
Q86YD7	
Q86YF9	
Q8N0S2	
Q8N998	
Q8TC20	
Q8TD10	
Q8TF74	
Q8WXW3	
Q96CN9	
Q96IZ0	
Q96M34	
Q96ST8	
Q9HCM1	
Q9NUD7	
Q9ULD2	
Q9ULJ1	
Q9Y228	
Q9Y6D9	
A2RUR9	
A6NKC0	
A6NL46	
A8MXJ8	
A8MXZ1	
O15234	
O95218	
O95613	
P0C7W6	
P10636	
P23327	
P45379	
P49756	
Q0VD83	
Q0VFZ6	
Q13061	
Q3BBV1	
Q3BBW0	
Q3SY00	
Q49MG5	
Q4L180	
Q5HY64	
Q5QJE6	
Q5VSY0	
Q5VWG9	
Q68D10	
Q68D86	
Q6MZM9	
Q6NUN7	
Q6VMQ6	
Q6ZQT0	
Q7Z4V5	
Q86VQ3	
Q86XN7	
Q86XR8	
Q8IXK0	
Q8IYA2	
Q8IYT3	
Q8N3V7	
Q8N6Y0	
Q8NET4	
Q969E4	
Q96DN6	
Q96JE9	
Q96KC9	
Q9H0G5	
Q9H307	
Q9H322	
Q9H3H9	
Q9NZP6	
Q9UKJ3	
Q9UPV0	
Q9Y6K9	
A6H8Y1	
A6NC98	
A6NDY2	
A6NEE1	
A6NEW6	
A6NIJ5	
A6NJQ4	
O15231	
O60437	
P0C7V4	
P0C7W8	
P0C7W9	
P15941	
P23511	DNA_BIND 296 321 NFYA/HAP2-type. {ECO:0000255|PROSITE-ProRule:PRU00966}.
P30622	
P46013	
P51825	
P84157	
Q12888	
Q13875	
Q14244	
Q15025	
Q2M243	
Q2M329	
Q5SSG8	
Q5T0U0	
Q5T5S1	
Q5T655	
Q5T7V8	
Q5VT06	
Q685J3	
Q6ZUT6	
Q86UU5	
Q86V48	
Q86VQ1	
Q8IXT2	DNA_BIND 42 89 DM. {ECO:0000255|PROSITE-ProRule:PRU00070}.
Q8IYY4	
Q8N4Y2	
Q8N655	
Q8N6L0	
Q8NDX5	
Q96M91	
Q96T51	
Q9BR77	
Q9BUL5	
Q9BWN1	
Q9BYW2	
Q9H0E3	
Q9NQS7	
Q9NXR1	
Q9NXZ1	
Q9NYZ3	
Q9Y3X0	
A0A044PY82	
A8MX19	
B4DH59	
I3L3R5	
O43493	
O75152	
O75157	
O94913	
O95359	
P0DJG4	
P10645	
P30414	
P45378	
P49918	
P51816	
P53814	
P78559	
Q13123	
Q14203	
Q15007	
Q569K6	
Q5D862	
Q5JRC9	
Q5M775	
Q641Q2	
Q5T3I0	
Q69YH5	
Q6PJT7	
Q6TFL3	
Q86X95	
Q8IWF9	
Q8IYF1	
Q8N3K9	
Q8NFZ5	
Q8NG31	
Q8TD16	
Q92750	
Q96BD5	DNA_BIND 425 437 A.T hook.
Q96CB8	
Q96CV9	
Q96EI5	
Q96G01	
Q96M83	
Q96ST2	
Q9BSW2	
Q9BUV0	
Q9C099	
Q9UF83	
Q9UHB6	
Q9UHB7	
Q9UHL3	
Q9UKN1	
Q9Y2D8	
A1L443	
A2A2Z9	
A2IDD5	
A5D8V7	
A6NC57	
A6NI56	
A6NNT2	
A8K0R7	
A8MUI8	
D6RGX4	
O14776	
O43719	
O75363	
O75807	
O94850	
O95229	
O95503	
O95931	
P0C7A2	
P0CW27	
P49321	
P51608	DNA_BIND 185 197 A.T hook 1.; DNA_BIND 265 277 A.T hook 2.
P61129	
P98088	
Q01850	
Q02505	
Q02817	
Q0P6D6	
Q12815	
Q14978	
Q14BN4	
Q15714	
Q3B820	
Q3MIW9	
Q5TZJ5	
Q5VU36	
Q5VYM1	
Q6IPX3	
Q6NYC8	
Q6P2H3	
Q6ZMI0	
Q6ZP82	
Q6ZU35	
Q6ZUS5	
Q86T75	
Q86T90	
Q86UE4	
Q86VS8	
Q8IVF6	
Q8IZQ8	
Q8N7P7	
Q8NCY6	
Q8ND07	
Q8NDH2	
Q8TBA6	
Q969V6	
Q96B01	
Q96F05	
Q96HJ3	
Q96K80	
Q96LB3	
Q96LK8	
Q96LP2	
Q96NA2	
Q9BXM0	
