Entry	DNA binding
Q9BZF9	
Q6P9F0	
O15344	
Q68DL7	
Q69YH5	
Q6ZRK6	
Q6ZTW0	
P78509	
Q9NY27	
Q7Z7N9	
O43149	
Q5VWN6	
O43422	
Q6MZT1	
Q9P1V8	
Q6L8H4	
Q9NYF8	
O75177	
Q7Z5B4	
Q8IY22	
Q9BZR8	
O94875	
Q86TE4	
P26436	
Q15751	
Q86UE4	
Q8WUB2	
A8MVX0	
P48681	
Q9H4Q3	
Q8N9W4	
Q8N9N5	
Q07065	
Q96NH3	
Q96EV2	
A6NDB9	
P18627	
Q8NA61	
Q9HAW4	
A6NHR9	
Q96M83	
P49771	
Q9Y6N9	
Q9HBM0	
Q9HCK1	
Q5VU43	
O43670	
P78423	
A2RTY3	
A6NKD9	
Q5T200	
P55808	
Q8NDD1	
Q6PGQ7	
O15061	
Q5BKY9	
Q13438	
Q96SN8	
A6NGY1	
Q6UWI2	
Q86YW5	
Q9UIF8	
Q15643	
P43489	
Q15154	
Q6P4F7	
O75330	
Q9HB09	
P48551	
P35125	
O95785	
Q6E0U4	
Q7Z589	
Q8IWB6	
Q03188	
Q8IUC6	
Q9UBR5	
A2AJT9	
A7MCY6	
Q96IZ7	
Q9Y520	
Q9H892	
A4D174	
Q9NTX9	
A8MXK1	
P21815	
O75152	
Q99996	
Q15149	
P28908	
A1L443	
Q86TB3	
Q96Q89	
P02686	
P80723	
Q86TY3	
Q16821	
Q9H7N4	
Q9H3R5	
Q9Y6Y1	DNA_BIND 63 188 CG-1. {ECO:0000255|PROSITE-ProRule:PRU00767}.
Q9ULK0	
Q5VYS4	
Q14242	
O15231	
Q5T230	
Q9NXZ1	
Q15051	
P78347	
Q6ZRC1	
Q49A88	
Q9C0C2	
Q8NB25	
Q5XX13	
P82970	
Q66GS9	
Q96NU1	
P19320	
Q9BUA3	
O95274	
Q6P1J6	
P49790	
Q4VC44	
P20929	
Q9BV73	
Q5H9T9	
Q75N03	
Q9BVC6	
Q9Y4F4	
Q8IWF9	
P09681	
Q8NF91	
Q9NZS9	
Q49A92	
Q96RY5	
Q9HBG7	
Q7Z4H7	
P33241	
Q76FK4	
A5D8T8	
Q5D862	
P12036	
Q6UWL2	
P20366	
P02671	
Q8NDX5	
P10966	
A4D0V7	
Q5T6C5	
Q9P2K9	
Q8N9V7	
Q53EZ4	
Q9BQS8	
Q5H9K5	
O75031	
O60667	
Q9UQV4	
A6NFD8	
Q76M96	
Q8NEV8	
Q86YZ3	
Q86SQ7	
Q96M34	
Q96F05	
P04279	
O00515	
Q6P531	
Q9UHL9	
Q8NBR0	
P05060	
A6NI56	
Q8NG31	
P18827	
Q8WUY3	
Q86XM0	
P17677	
Q8NHQ1	
Q5VYV7	
P35663	
Q8NFZ5	
A7MD48	
Q5TIA1	
Q8N6L0	
Q8N7Z5	
A1L162	
Q6X4W1	
Q6ZRR9	
Q15080	
P57679	
Q9BXK5	
O15078	
P33076	
Q8NA82	
O15240	
Q8NET4	
Q02383	
Q6P3W6	
P52594	
Q13261	
P49006	
Q6UWP8	
Q13428	
Q6IPU0	
Q96M53	
Q6EKJ0	
Q6XPR3	
A6NCL1	
Q05682	
Q12816	
Q6UXH8	
Q6NZ36	
Q8TBY8	
Q8N137	
Q8N7B9	
Q4ZHG4	
Q5SRN2	
Q9UMD9	
Q8IWE5	
Q9H0E3	
Q86UK5	
Q9Y2D5	
Q64ET8	
A6NE01	
P16144	
O75474	
O75264	
O15083	
Q8IXS0	
Q96DZ9	
Q14676	
Q86XI8	
Q9Y2K2	
Q14643	
Q96B23	
Q9Y4D8	
Q96S38	
Q14980	
Q8IYE1	
Q13651	
Q8IWA6	
Q14789	
Q86UU5	
P05814	
Q5BJE1	
Q96QE3	
Q96PN7	
E7EW31	
Q7Z309	
P20810	
Q15109	
Q5T0U0	
Q9NRI5	
Q17RC7	
Q9UPW6	DNA_BIND 350 437 CUT 1. {ECO:0000255|PROSITE-ProRule:PRU00374}.; DNA_BIND 473 560 CUT 2. {ECO:0000255|PROSITE-ProRule:PRU00374}.; DNA_BIND 615 674 Homeobox. {ECO:0000255|PROSITE-ProRule:PRU00108}.
A0PK05	
B1AJZ9	
P78312	
Q9UPT8	
A8MZA4	
A8K855	
P0C7A2	
Q15398	
Q8N6P7	
Q6UXF1	
Q7Z2Z1	
Q96T59	
Q9NPE2	
P42701	
P51825	
Q9Y240	
Q86UU0	
P40225	
Q6ZU52	
P02810	
Q96FE7	
P07305	
Q9H972	
Q9Y2F5	
Q96RL1	
Q5T1N1	
Q99217	
Q9Y2I1	
Q5TB80	
Q6ZMV7	
P0C7W6	
Q9NYF0	
Q9P1Z9	
O75151	
Q7RTW8	
Q9Y2G4	
O15117	
O75807	
P49454	
O75631	
Q969F9	
Q8N4C6	
O00461	
Q8N3K9	
Q9NXR5	
Q96Q06	
O75157	
Q5THK1	
O14525	
O75071	
Q8N7S6	
Q13439	
Q6ZRV2	
Q96R06	
Q53R41	
A6H8Y1	
Q2NKJ3	
Q8IVF2	
P50748	
Q1XH10	
A2RUB6	
Q86XN7	
Q8N6T0	
P19338	
O43918	
Q8TAP9	
O95171	
Q9NYF5	
Q9H7T3	
O95210	
Q8TDB4	
Q09666	
Q8TC20	
Q5VXU9	
Q9Y448	
Q12802	
Q9NR80	
Q9H8L6	
Q3T8J9	
Q5JSZ5	
Q8WXG9	
Q86T75	
